#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SAM
#Experiment: historical
#Model: CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_SMHI-RCA4_v3
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SCA","NWS","NSA","NES","SAM","SWS","SES","SSA","full_domain"
"1988-12",5.842,5.904,3.713,0.543,NA,0.175,3.241,1.664,2.263
"1989-01",4.647,5.547,3.957,1.328,NA,0.267,3.405,1.726,2.289
"1989-02",5.134,7.946,3.182,2.125,NA,0.438,2.037,2.372,2.166
"1989-03",5.455,6.282,3.021,3.284,NA,0.486,1.04,3.083,2.382
"1989-04",5.706,5.182,1.54,2.993,NA,1.53,1.614,2.568,2.662
"1989-05",5.929,2.622,5.462,1.547,NA,2.239,1.94,2.458,3.093
"1989-06",7.342,2.194,7.518,1.062,NA,2.301,1.44,2.187,3.218
"1989-07",7.112,3.505,3.669,0.407,NA,2.234,1.205,2.454,3.022
"1989-08",6.934,3.809,1.807,0.476,NA,1.912,1.142,2.089,2.641
"1989-09",6.752,4.073,0.446,0.368,NA,0.906,1.234,1.518,2.556
"1989-10",7.255,4.818,0.591,0.181,NA,0.567,1.882,1.448,2.736
"1989-11",4.316,4.308,1.092,0.297,NA,1,3.091,1.624,2.405
"1989-12",5.7,4.484,3.795,0.49,NA,0.183,2.327,1.31,2.288
"1990-01",3.669,6.406,2.433,1.28,NA,0.354,2.457,1.679,2.235
"1990-02",4.408,6.292,2.002,1.913,NA,0.635,2.197,2.53,2.171
"1990-03",4.305,9.106,1.411,1.688,NA,0.593,1.943,2.503,2.571
"1990-04",5.853,4.821,2.736,2.745,NA,0.962,2.552,2.076,2.558
"1990-05",5.382,2.314,3.078,1.917,NA,2.08,2.172,2.771,3.011
"1990-06",9.359,2.815,5.076,0.714,NA,2.302,1.325,1.903,2.931
"1990-07",8.359,2.921,2.343,0.495,NA,2.665,1.474,2.403,3.124
"1990-08",6.887,3.878,1.067,0.208,NA,2.067,0.327,2.156,2.477
"1990-09",6.995,4.182,1.193,0.161,NA,1.725,1.718,2.174,2.553
"1990-10",7.252,5.158,1.846,0.107,NA,0.621,1.837,1.57,2.591
"1990-11",7.105,6.388,2.065,0.376,NA,0.924,2.431,1.772,2.739
"1990-12",3.377,7.43,3.619,2.454,NA,0.529,2.585,1.632,2.531
"1991-01",2.316,7.093,0.91,1.709,NA,0.606,3.673,2.504,2.35
"1991-02",3.061,4.943,2.076,1.479,NA,0.734,2.164,2.847,2.264
"1991-03",5.352,7.479,2.126,1.173,NA,0.912,1.894,2.399,2.589
"1991-04",5.419,3.773,3.626,2.456,NA,1.604,1.689,2.666,2.747
"1991-05",8.076,3.361,3.169,1.504,NA,1.689,2.018,2.516,3.009
"1991-06",8.594,3.408,2.182,0.494,NA,2.012,1.52,2.4,2.993
"1991-07",7.134,3.197,0.392,0.512,NA,1.555,1.455,2.085,2.827
"1991-08",6.967,3.74,0.23,0.212,NA,2.357,0.814,2.039,2.956
"1991-09",7.037,4.518,0.107,0.219,NA,1.871,1.353,2.293,2.562
"1991-10",8.589,5.315,0.243,0.218,NA,0.649,1.316,1.467,2.724
"1991-11",6.467,7.427,0.901,2.36,NA,0.914,2.29,1.792,2.715
"1991-12",3.346,6.787,1.999,0.555,NA,0.319,3.42,1.708,2.235
"1992-01",4.518,5.814,3.01,0.973,NA,0.58,2.718,2.13,2.484
"1992-02",3.308,6.497,3.14,1.868,NA,0.631,1.691,2.215,2.164
"1992-03",3.898,7.536,1.223,1.8,NA,0.741,2.648,2.285,2.582
"1992-04",5.803,7.143,1.783,2.021,NA,1.615,2.591,2.741,2.766
"1992-05",7.017,2.733,6.902,1.952,NA,1.185,2.593,2.478,3.239
"1992-06",7.763,2.846,3.819,0.882,NA,2.227,2.204,2.562,3.119
"1992-07",8.659,2.779,2.837,0.443,NA,1.932,1.987,2.246,3.154
"1992-08",7.268,3.629,1.494,0.316,NA,1.94,1.151,1.965,2.648
"1992-09",5.781,4.142,0.665,0.222,NA,1.148,1.469,1.946,2.329
"1992-10",7.79,5.749,0.149,0.171,NA,0.657,1.859,1.071,2.498
"1992-11",6.86,5.146,1.854,0.388,NA,0.279,2.477,1.263,2.495
"1992-12",5.707,5.56,2.012,0.357,NA,0.101,1.993,1.114,2.048
"1993-01",3.391,6.809,3.839,0.875,NA,0.524,2.671,1.884,2.353
"1993-02",3.829,8.892,3,2.165,NA,0.525,2.256,2.31,2.383
"1993-03",3.556,6.733,2.626,2.117,NA,0.53,1.384,2.468,2.499
"1993-04",6.323,4.881,1.094,1.997,NA,1.6,1.689,3.077,2.678
"1993-05",8.23,2.863,2.481,2.023,NA,1.042,2.416,2.742,2.629
