#Dataset: CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM5-0-2_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","ECA","TIB","EAS","SAS","SEA","NAU","BOB","full_domain"
"1995-02",NA,NA,1.925,0.432,0.263,NA,0.094,1.139
"1995-03",NA,NA,1.391,1.145,0.292,NA,0.122,1.15
"1995-04",NA,NA,2.78,0.251,0.323,NA,0.027,1.754
"1995-05",NA,NA,3.061,0.315,0.987,NA,0.176,1.87
"1995-06",NA,NA,6.6,4.41,5.861,NA,0.811,4.76
"1995-07",NA,NA,4.399,4.69,6.163,NA,4.232,5.41
"1995-08",NA,NA,6.654,4.006,4.608,NA,3.727,5.781
"1995-09",NA,NA,4.252,8.79,4.353,NA,6.378,6.086
"1995-10",NA,NA,3.291,1.636,5.149,NA,2.09,4.391
"1995-11",NA,NA,2.502,0.869,2.475,NA,0.648,3.299
"1995-12",NA,NA,1.962,0.368,1.134,NA,0.139,2.634
"1996-01",NA,NA,1.307,0.065,1.391,NA,0.152,1.68
"1996-02",NA,NA,1.275,0.173,1.504,NA,0.056,1.675
"1996-03",NA,NA,1.303,0.177,0.89,NA,0.145,1.413
"1996-04",NA,NA,2.509,0.282,1.015,NA,0.549,2.256
"1996-05",NA,NA,3.609,0.095,1.461,NA,0.199,2.807
"1996-06",NA,NA,4.767,4.241,4.624,NA,2.505,5.03
"1996-07",NA,NA,5.009,4.898,6.717,NA,2.154,4.998
"1996-08",NA,NA,4.14,3.053,4.209,NA,1.69,4.131
"1996-09",NA,NA,5.011,3.551,7.463,NA,3.475,5.553
"1996-10",NA,NA,3.149,0.71,5.33,NA,0.727,4.644
"1996-11",NA,NA,1.657,3.918,2.266,NA,0.889,3.436
"1996-12",NA,NA,0.884,0.278,2.858,NA,0.146,2.39
"1997-01",NA,NA,1.239,0.021,0.865,NA,0.054,2.023
"1997-02",NA,NA,0.962,0.028,0.24,NA,0.036,1.214
"1997-03",NA,NA,1.906,0.094,0.301,NA,0.017,1.58
"1997-04",NA,NA,2.075,0.107,0.601,NA,0.175,1.852
"1997-05",NA,NA,3.659,0.061,5.094,NA,2.332,4.147
"1997-06",NA,NA,5.659,2.207,5.263,NA,1.692,5.668
"1997-07",NA,NA,7.689,9.485,8.13,NA,3.858,6.938
"1997-08",NA,NA,6.583,4.871,3.562,NA,2.522,5.846
"1997-09",NA,NA,4.734,2.338,5.148,NA,1.097,4.744
"1997-10",NA,NA,1.771,2.401,3.685,NA,2.617,3.697
"1997-11",NA,NA,1.649,1.036,2.387,NA,1.033,3.492
"1997-12",NA,NA,2.86,0.544,2.159,NA,0.038,2.127
"1998-01",NA,NA,1.339,0.019,0.872,NA,0.004,1.359
"1998-02",NA,NA,1.978,0.018,0.318,NA,0.025,1.236
"1998-03",NA,NA,1.856,0.497,0.577,NA,0.265,1.563
"1998-04",NA,NA,3.128,0.592,1.262,NA,0.918,2.207
"1998-05",NA,NA,3.461,0.264,2.537,NA,0.31,3.234
"1998-06",NA,NA,6.669,2.56,6.055,NA,1.766,4.814
"1998-07",NA,NA,5.918,3.694,8.773,NA,1.085,5.584
"1998-08",NA,NA,5.003,2.303,4.467,NA,0.734,4.444
"1998-09",NA,NA,5.655,3.021,8.734,NA,3.159,6.388
"1998-10",NA,NA,3.928,1.946,7.599,NA,1.888,5.059
"1998-11",NA,NA,1.411,0.952,6.498,NA,1.482,4.278
"1998-12",NA,NA,0.846,0.756,3.75,NA,0.218,2.576
"1999-01",NA,NA,1.021,0.261,2.203,NA,0.188,1.945
"1999-02",NA,NA,1.673,0.093,1.808,NA,0.711,1.794
"1999-03",NA,NA,2.346,0.007,1.326,NA,0.028,1.973
"1999-04",NA,NA,3.189,0.192,1.176,NA,0.933,2.375
"1999-05",NA,NA,3.927,0.14,3.229,NA,0.409,3.438
"1999-06",NA,NA,4.389,1.172,4.305,NA,0.304,3.901
"1999-07",NA,NA,5.215,1.723,4.935,NA,0.35,4.716
"1999-08",NA,NA,5.062,3.649,3.951,NA,1.339,4.788
"1999-09",NA,NA,3.774,4.136,4.652,NA,2.98,4.772
"1999-10",NA,NA,2.358,0.93,1.885,NA,1.726,3.756
"1999-11",NA,NA,2.669,1.356,1.072,NA,0.455,2.626
"1999-12",NA,NA,1.729,0.187,2.208,NA,0.108,2.041
"2000-01",NA,NA,2.403,0.052,1.433,NA,0.029,1.543
"2000-02",NA,NA,2.03,0.009,0.323,NA,0.017,1.04
"2000-03",NA,NA,2.164,0.138,0.385,NA,0.134,1.298
"2000-04",NA,NA,2.913,0.067,1.141,NA,0.138,1.667
"2000-05",NA,NA,3.901,0.564,3.104,NA,0.512,3.429
"2000-06",NA,NA,4.149,2.277,3.228,NA,0.539,4.143
"2000-07",NA,NA,7.107,8.998,7.005,NA,8.027,6.198
"2000-08",NA,NA,8.065,6.049,5.323,NA,2.932,5.753
"2000-09",NA,NA,6.041,6.648,6.018,NA,2.348,5.599
"2000-10",NA,NA,3.56,1.77,3.112,NA,0.392,3.663
"2000-11",NA,NA,1.946,0.528,3.047,NA,1.74,3.259
"2000-12",NA,NA,1.869,1.391,1.109,NA,0.549,2.335
"2001-01",NA,NA,2.819,0.508,1.251,NA,0.074,1.866
"2001-02",NA,NA,1.696,0.46,0.236,NA,0.251,1.169
"2001-03",NA,NA,2.804,0.034,0.089,NA,0.006,1.215
