dataset,prsn,sfcWind,tos,ph,siconc
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp126_r1i1p1f1_Omon_gr,NA,NA,v20180701,v20180701,NA
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp126_r1i1p1f1_SImon_gr,NA,NA,NA,NA,v20180701
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp245_r1i1p1f1_Amon_gr1,v20180701,v20180701,NA,NA,NA
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp245_r1i1p1f1_Omon_gr,NA,NA,v20180701,v20180701,NA
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp245_r1i1p1f1_SImon_gr,NA,NA,NA,NA,v20180701
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp370_r1i1p1f1_Amon_gr1,v20180701,v20180701,NA,NA,NA
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp370_r1i1p1f1_Omon_gr,NA,NA,v20180701,v20180701,NA
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp370_r1i1p1f1_SImon_gr,NA,NA,NA,NA,v20180701
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp585_r1i1p1f1_Amon_gr1,v20180701,v20180701,NA,NA,NA
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp585_r1i1p1f1_Omon_gr,NA,NA,v20180701,v20180701,NA
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp585_r1i1p1f1_SImon_gr,NA,NA,NA,NA,v20180701
CMIP6_NUIST_NESM3_historical_r1i1p1f1_Amon_gn,v20190630,NA,NA,NA,NA
CMIP6_NUIST_NESM3_historical_r1i1p1f1_Omon_gn,NA,NA,v20190703,NA,NA
CMIP6_NUIST_NESM3_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190704
CMIP6_NUIST_NESM3_ssp126_r1i1p1f1_Amon_gn,v20190731,v20190731,NA,NA,NA
CMIP6_NUIST_NESM3_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20190731,NA,NA
CMIP6_NUIST_NESM3_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190730
CMIP6_NUIST_NESM3_ssp245_r1i1p1f1_Amon_gn,v20190731,v20190731,NA,NA,NA
CMIP6_NUIST_NESM3_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20190731,NA,NA
CMIP6_NUIST_NESM3_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190804
CMIP6_NUIST_NESM3_ssp585_r1i1p1f1_Amon_gn,v20190728,v20190728,NA,NA,NA
CMIP6_NUIST_NESM3_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20190731,NA,NA
CMIP6_NUIST_NESM3_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190803
